id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
7gb626DDDHoiuVAGZEnlJk,Geno - 2000 Remaster,Searching For The Young Soul Rebels,Dexys Midnight Runners,207226,0.481,0.688,0.6,0.00633,0.963,0.818,-8.722,0.0801,124.637,6,4,Happy
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,248413,0.794,0.0426,0.811,1.07E-06,0.101,0.862,-8.966,0.038,116.047,6,4,Happy
0nyrltZrQGAJMBZc1bYvuQ,Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,250200,0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,4,4,Happy
3YQopTaSSgLSSuzYBZ9bLf,Getting Away With Murder,Getting Away With Murder (Explicit Version),Papa Roach,191239,0.544,0.000115,0.97,3.34E-05,0.238,0.349,-3.78,0.0532,103.909,1,4,Energetic
6mnYXjuK0CDzqem4eR5JGU,Ghostride,Ghostride,Crumb,126120,0.664,0.511,0.352,0.806,0.109,0.45,-9.426,0.0278,87.054,2,4,Sad
2No1A7ZuMaBGxz45jmA9Gw,Glaciers,Bloom,Lights & Motion,176373,0.0789,0.733,0.16,0.786,0.0943,0.0409,-18.144,0.0362,56.449,7,4,Calm
45DElIx0dXqUH4A88yQFdE,Go With The Flow,Songs For The Deaf,Queens of the Stone Age,187120,0.242,0.0148,0.992,0.113,0.833,0.374,-3.9,0.0988,159.37,4,4,Energetic
08Hghm2hJpCxJux9YuhCG0,Gone My Way - KhoMha Remix,Gone My Way (KhoMha Remix),Morgan Page,168750,0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.022,5,4,Energetic
0G3fbPbE1vGeABDEZF0jeG,Good Times,Risqué,CHIC,495400,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2,4,Happy
2oF7FZHIJbzjeEXZ3D0Ku4,Good Vibrations - Remastered,Good Vibrations 40th Anniversary,The Beach Boys,217746,0.403,0.387,0.495,8.03E-06,0.147,0.38,-6.888,0.0312,132.912,10,4,Happy
